,assessment_date,county,sub-county,location_type,households_in_location,households_departed,departure_date,1st_reason_for_departure,2nd_reason_for_departure,3rd_reason_for_departure,households_pastoralism_drop,pastoralism_drop_date,1st_reason_to_drop,2nd_reason_to_drop,3rd_reason_to_drop,households_arrived,arrival_date,country_arrived_from,sub-county_arrived_from,1st_reason_for_departure_from_origin,2nd_reason_for_departure_from_origin,3rd_reason_for_departure_from_origin,households_returned,country_returned_from,sub-county_returned_from,1st_reason_for_returning,2nd_reason_for_returning,livelihood_1,households_livelihood_1,livelihood_2,households_livelihood_2,livelihood_3,households_livelihood_3,1st_challenge,2nd_challenge,3rd_challenge,1st_health_concern,2nd_health_concern,3rd_health_concern,functional_watersources,watersource_distance,water_queue_time,percent_drinkingwater_access,percent_cookingwater_access,educational_facility,students,school_dropouts,safety_concerns
508,2022-09-12,Garissa,Balambala,Village,230,25,2020 To 2022,Drought,Resource-Based Conflict,Other,90,2020 To 2022,Drought,Resource-Based Conflict,Other,15,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,10,Kenya,Lagdera,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
509,2022-09-13,Garissa,Balambala,Village,35,31,2020 To 2022,Drought,Resource-Based Conflict,Other,27,2020 To 2022,Drought,Resource-Based Conflict,Other,40,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,15,Kenya,Lagdera,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
510,2022-09-12,Garissa,Ijara,Village,400,10,2020 To 2022,Drought,Resource-Based Conflict,Other,1000,2020 To 2022,Drought,Other,Resource-Based Conflict,190,2020 To 2022,Kenya,Lamu/West,Drought,Resource-Based Conflict,Other,500,Kenya,Lamu/West,Drought,Other,Pastoralism,700,Agro Pastoralism,300,Trade,250,Environmental Challenges,Loss Of Livelihood,Resource Based Conflict,Malaria,Pneumonia,Diarrhea,2,38,38,75,50,Yes,630,115,Lack Of Privacy
511,2022-09-16,Garissa,Fafi,Village,200,30,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,30,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,50,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,40,Kenya,Fafi,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
512,2022-09-16,Garissa,Fafi,Village,200,100,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,50,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,50,2020 To 2022,Kenya,Fafi,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,50,Kenya,Fafi,Drought,Resource-Based Conflict,Pastoralism,500,Farming,50,Employment (Includes Public And Private Sectors),80,Safety And Security,No Additional Challenge,No Additional Challenge,Pneumonia,No Additional Challenge,No Additional Challenge,3,38,10,25,25,Yes,1800,200,Lack Of Security
513,2022-09-16,Garissa,Garissa Township,Village,600,0,Other,Other,Other,Other,50,Before 2020,Drought,Drought,Other,200,Before 2020,Kenya,Bura,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
514,2022-09-16,Garissa,Garissa Township,Town In Urban,750,0,Other,Other,Other,Other,294,2020 To 2022,Drought,Drought,Other,200,2020 To 2022,Kenya,Wajir/South,Drought,Resource-Based Conflict,Other,20,Kenya,Ijara,Drought,Resource-Based Conflict,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
515,2022-09-16,Garissa,Dadaab,Village,70,10,2020 To 2022,Drought,Resource-Based Conflict,Other,20,2020 To 2022,Drought,Resource-Based Conflict,Other,10,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,1500,Agro Pastoralism,150,Trade,350,Environmental Challenges,Safety And Security,Resource Based Conflict,Malaria,Acute Malnutrition,Pneumonia,2,50,50,25,50,Yes,550,150,Weather
516,2022-09-16,Garissa,Dadaab,Village,80,30,2020 To 2022,Drought,Resource-Based Conflict,Other,35,2020 To 2022,Drought,Resource-Based Conflict,Other,15,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
517,2022-09-11,Garissa,Dadaab,Village,150,40,2020 To 2022,Drought,Resource-Based Conflict,Other,20,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,40,Kenya,Wajir/South,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
